"control_S0_L001_quant","control_S64_L001_quant","control_S40_L001_quant","case_S110_L001_quant","case_S65_L001_quant","case_S52_L001_quant"
"ENSG00000037280.16",0,0,0,0,0,1
"ENSG00000037474.15",1594,1307,1356,3319,2396,1358
"ENSG00000037637.11",287,344,346,461,330,309
"ENSG00000037749.13",252,242,257,388,347,275
"ENSG00000037757.14",667,588,592,529,913,654
"ENSG00000037897.17",147,170,200,325,304,302
"ENSG00000037965.6",22,36,85,36,72,95
"ENSG00000038002.9",133,101,144,188,253,356
"ENSG00000038210.14",1150,1368,1188,584,1182,1231
"ENSG00000038219.13",1334,1322,2308,1425,1924,2908
"ENSG00000038274.17",1993,2225,2270,2125,2322,2114
"ENSG00000038295.8",3,0,0,0,1,1
"ENSG00000038358.15",1215,748,840,1131,1391,850
"ENSG00000038382.21",534,364,417,479,535,509
"ENSG00000038427.16",3,1,6,9,6,27
"ENSG00000038532.16",149,186,205,386,229,187
"ENSG00000038945.15",1,0,0,0,0,0
"ENSG00000039068.20",3564,4175,3696,6997,3634,3293
"ENSG00000039123.16",1356,1904,2125,1691,1782,1784
"ENSG00000039139.11",11,30,21,31,31,41
"ENSG00000039319.17",722,1007,1111,473,820,1330
"ENSG00000039523.20",702,472,467,958,623,371
"ENSG00000039537.14",1,0,2,0,3,1
"ENSG00000039560.14",283,231,288,463,316,287
"ENSG00000039600.11",1,0,5,4,1,2
"ENSG00000039650.12",305,243,288,438,483,274
"ENSG00000039987.7",0,0,0,0,2,0
"ENSG00000040199.18",39,21,31,36,62,33
"ENSG00000040275.17",312,444,483,475,641,592
"ENSG00000040341.18",679,1061,1150,998,905,959
"ENSG00000040487.13",190,138,188,288,250,127
"ENSG00000040531.16",94,140,93,253,186,104
"ENSG00000040608.14",108,105,72,190,89,50
"ENSG00000040633.13",448,667,585,1254,803,669
"ENSG00000040731.10",0,0,0,0,0,1
"ENSG00000040933.16",185,134,159,259,229,264
"ENSG00000041353.10",1588,2010,1667,913,1558,1615
"ENSG00000041357.16",5514,7188,8395,5754,7638,9117
"ENSG00000041515.16",8,5,1,2,23,11
"ENSG00000041802.11",491,363,449,781,823,457
"ENSG00000041880.15",162,137,110,190,132,146
"ENSG00000041982.16",37,18,20,71,81,45
"ENSG00000041988.16",193,209,182,264,252,155
"ENSG00000042062.13",0,0,0,7,4,2
"ENSG00000042088.14",142,187,153,265,163,212
"ENSG00000042286.15",634,638,633,1261,985,527
"ENSG00000042304.13",0,1,1,0,1,1
"ENSG00000042317.17",88,122,111,84,86,198
"ENSG00000042429.12",474,723,813,606,770,850
"ENSG00000042445.14",1154,1373,1164,2502,1816,870
"ENSG00000042493.16",6604,8823,6503,5681,6160,6631
"ENSG00000042753.12",939,873,986,2399,1693,875
"ENSG00000042781.14",0,0,1,0,1,5
"ENSG00000042813.8",0,0,0,0,0,0
"ENSG00000042832.12",0,2,0,1,2,1
"ENSG00000042980.13",0,3,0,22,31,58
"ENSG00000043039.7",204,70,138,171,59,55
"ENSG00000043093.15",1212,1733,1651,867,1339,1995
"ENSG00000043143.22",407,330,219,1582,943,618
"ENSG00000043355.12",264,319,373,226,184,166
"ENSG00000043462.13",0,0,2,4,3,2
"ENSG00000043514.17",330,236,300,427,342,257
"ENSG00000043591.6",20,11,24,21,9,37
"ENSG00000044012.4",3,1,0,2,1,0
"ENSG00000044090.13",336,257,262,400,252,355
"ENSG00000044115.21",6328,4824,4908,10956,5546,3932
"ENSG00000044446.12",234,230,231,685,512,654
"ENSG00000044459.15",159,192,182,154,232,302
"ENSG00000044524.11",0,0,2,2,1,8
"ENSG00000044574.9",33286,30378,33263,33810,22586,21361
"ENSG00000046604.14",14295,17281,18873,11207,12609,14261
"ENSG00000046647.14",101,133,129,152,92,89
"ENSG00000046651.16",596,541,777,490,512,650
"ENSG00000046653.15",26,37,31,25,90,106
"ENSG00000046774.10",0,0,0,3,0,0
"ENSG00000046889.19",1,0,0,0,1,0
"ENSG00000047056.17",307,185,253,291,249,271
"ENSG00000047188.16",388,524,522,268,513,742
"ENSG00000047230.15",270,314,270,289,331,301
"ENSG00000047249.18",776,995,1085,2076,926,712
"ENSG00000047315.17",2468,3496,3485,3106,3951,3684
"ENSG00000047346.13",449,423,548,157,317,572
"ENSG00000047365.13",386,301,365,445,398,412
"ENSG00000047410.14",1633,1546,1625,2592,1894,1474
"ENSG00000047457.14",10,12,25,196,353,167
"ENSG00000047578.14",240,137,124,255,230,150
"ENSG00000047579.20",183,127,159,268,219,199
"ENSG00000047597.7",1011,1025,1103,440,904,1162
"ENSG00000047617.17",0,0,3,0,0,0
"ENSG00000047621.12",259,385,295,285,315,345
"ENSG00000047634.15",510,717,713,187,600,962
"ENSG00000047644.20",84,85,136,391,124,90
"ENSG00000047648.23",2,2,0,20,8,21
"ENSG00000047662.5",0,0,2,2,2,6
"ENSG00000047849.22",2252,2063,1937,4822,2540,1458
"ENSG00000047932.14",630,818,1017,747,840,1267
"ENSG00000047936.11",1,0,0,0,1,3
"ENSG00000048028.11",133,173,182,351,208,177
"ENSG00000048052.24",545,641,783,384,191,664
"ENSG00000048140.18",1021,633,488,938,940,635
"ENSG00000048162.22",442,558,613,1195,1083,480
"ENSG00000048342.18",46,27,48,39,62,66
"ENSG00000048392.13",1238,1876,1545,1082,1558,1724
"ENSG00000048405.11",1177,1370,1189,377,985,1352
"ENSG00000048462.11",0,0,0,0,0,0
"ENSG00000048471.14",25,25,43,86,50,38
"ENSG00000048540.16",8,4,5,5,28,31
"ENSG00000048544.6",780,1069,1283,1671,1717,1573
"ENSG00000048545.17",0,2,3,2,4,4
"ENSG00000048649.14",1178,1277,1954,1545,1403,1793
"ENSG00000048707.15",366,264,285,675,419,276
"ENSG00000048740.19",365,553,786,951,765,1450
"ENSG00000048828.17",3565,3876,4146,4364,3510,3051
"ENSG00000048991.17",509,846,1063,582,1045,974
"ENSG00000049089.15",15,10,3,12,7,28
"ENSG00000049130.16",1805,4024,3251,2730,5847,8559
"ENSG00000049167.16",380,472,539,229,496,485
"ENSG00000049192.15",6,9,9,6,9,14
"ENSG00000049239.13",320,213,161,391,439,225
"ENSG00000049245.13",1570,1348,1320,2711,1548,995
"ENSG00000049246.15",161,112,181,271,162,185
"ENSG00000049247.14",0,1,1,0,0,2
"ENSG00000049249.9",0,0,0,1,1,1
"ENSG00000049283.19",14,17,8,65,39,29
"ENSG00000049323.16",5,6,14,9,5,6
"ENSG00000049449.10",4341,5551,6759,6332,4399,4203
"ENSG00000049540.19",0,2,0,0,0,1
"ENSG00000049541.11",323,450,570,943,734,521
"ENSG00000049618.24",940,1439,1823,1233,1147,1728
"ENSG00000049656.14",914,878,661,2029,1194,660
"ENSG00000049759.20",682,627,773,899,1045,934
"ENSG00000049768.17",0,1,0,6,9,0
"ENSG00000049769.14",49,39,32,68,83,31
"ENSG00000049860.14",2191,2066,2336,3749,3410,2237
"ENSG00000049883.15",137,159,201,148,220,184
"ENSG00000050030.16",0,0,0,0,1,0
"ENSG00000050130.18",1531,1622,1714,1169,1571,2517
"ENSG00000050165.19",9,5,4,7,5,14
"ENSG00000050327.15",624,392,405,727,554,324
"ENSG00000050344.9",676,1035,1148,2081,1078,1241
"ENSG00000050393.12",581,510,657,744,569,585
"ENSG00000050405.14",8495,9132,8208,4756,6833,5147
"ENSG00000050426.16",1064,1151,1040,1453,1069,758
"ENSG00000050438.17",9,13,10,8,19,34
"ENSG00000050555.19",4,0,0,1,0,6
"ENSG00000050628.21",1,1,3,0,0,3
"ENSG00000050730.16",0,0,0,0,2,0
"ENSG00000050748.18",679,494,578,806,699,596
"ENSG00000050767.18",2,0,0,0,0,3
"ENSG00000050820.17",1077,801,921,2129,1298,728
"ENSG00000051009.11",532,419,390,615,775,462
"ENSG00000051108.15",5125,3800,4542,2783,2241,2967
"ENSG00000051128.19",55,106,91,247,79,179
"ENSG00000051180.17",202,297,306,682,419,242
"ENSG00000051341.15",94,188,204,152,274,138
"ENSG00000051382.9",670,573,640,1152,627,693
"ENSG00000051523.11",6033,6439,6310,9108,6352,4739
"ENSG00000051596.10",973,1170,1003,1914,1505,707
"ENSG00000051620.11",2974,2464,3687,1691,2517,2780
"ENSG00000051825.15",157,171,129,147,200,163
"ENSG00000052126.15",599,796,884,548,702,839
"ENSG00000052344.16",703,738,763,1258,451,399
"ENSG00000052723.12",434,606,680,523,710,734
"ENSG00000052749.14",556,346,409,1276,877,460
"ENSG00000052795.13",1550,1246,1664,405,828,1300
"ENSG00000052802.13",2458,4400,4886,3596,3113,3230
"ENSG00000052841.15",737,881,841,1159,896,896
"ENSG00000052850.8",0,0,0,0,2,0
"ENSG00000053108.17",1,0,0,0,2,2
"ENSG00000053254.16",396,312,371,359,298,566
"ENSG00000053328.9",0,1,0,0,2,0
"ENSG00000053371.13",184,266,221,508,317,159
"ENSG00000053372.5",1117,1567,1565,2154,2279,1511
"ENSG00000053438.11",2,9,12,1193,45,91
"ENSG00000053501.14",128,122,131,320,181,183
"ENSG00000053524.13",9,1,9,8,12,7
"ENSG00000053702.15",3,2,3,1,20,8
"ENSG00000053747.17",1362,1458,1467,5384,1241,990
"ENSG00000053770.12",609,939,853,624,733,1528
"ENSG00000053900.11",442,509,622,411,635,666
"ENSG00000053918.18",358,395,242,815,133,158
"ENSG00000054116.12",874,742,872,1370,1179,890
"ENSG00000054118.15",1852,1552,1780,4256,2481,1308
"ENSG00000054148.18",1089,1018,1184,1907,1292,1265
"ENSG00000054179.12",363,484,449,963,277,381
"ENSG00000054219.11",224,227,251,456,544,989
"ENSG00000054267.22",1101,1649,2047,1023,1309,1858
"ENSG00000054277.14",27,82,74,187,86,75
"ENSG00000054282.16",595,1044,848,827,742,783
"ENSG00000054356.14",3,0,4,15,8,5
"ENSG00000054392.13",29,37,35,102,39,62
"ENSG00000054523.19",342,354,319,446,435,324
"ENSG00000054598.9",66,73,83,82,52,151
"ENSG00000054611.14",460,366,285,722,427,274
"ENSG00000054654.20",762,630,704,1242,765,828
"ENSG00000054690.14",400,409,421,255,560,573
"ENSG00000054793.14",640,504,474,611,452,401
"ENSG00000054796.13",0,0,0,0,2,0
"ENSG00000054803.4",0,0,0,0,0,0
"ENSG00000054938.17",0,0,0,0,1,0
"ENSG00000054965.11",267,264,226,368,311,301
"ENSG00000054967.13",184,134,132,236,262,127
"ENSG00000054983.17",696,637,736,800,711,1101
"ENSG00000055044.11",2520,3298,4698,3246,4066,4255
"ENSG00000055070.17",2269,1774,1447,3733,2470,1303
"ENSG00000055118.17",6,8,3,11,4,19
"ENSG00000055130.18",771,683,653,1521,914,616
"ENSG00000055147.19",166,151,175,217,207,185
"ENSG00000055163.20",78,67,38,146,83,99
"ENSG00000055208.19",1918,2870,3153,1647,2023,3031
"ENSG00000055211.14",698,829,970,1279,840,1184
"ENSG00000055332.19",889,1186,1425,1541,2232,2831
"ENSG00000055483.20",680,526,517,880,848,444
"ENSG00000055609.21",1101,952,1262,580,873,1088
"ENSG00000055732.13",76,117,97,58,124,166
"ENSG00000055813.6",0,0,0,0,0,0
"ENSG00000055917.16",1991,2385,2592,2366,2156,2298
"ENSG00000055950.17",897,875,859,1322,1180,857
"ENSG00000055955.17",11,4,0,10,18,27
"ENSG00000055957.11",0,0,0,1,0,0
"ENSG00000056050.7",276,352,384,344,407,484
"ENSG00000056097.16",2369,2829,2643,1538,1988,3126
"ENSG00000056277.16",44,76,83,93,65,114
"ENSG00000056291.19",0,1,0,1,0,165
"ENSG00000056487.16",0,0,0,0,0,0
"ENSG00000056558.11",50,59,57,29,46,56
"ENSG00000056586.16",593,646,749,639,584,809
"ENSG00000056736.10",120,129,132,306,333,396
"ENSG00000056972.20",463,249,289,532,365,279
"ENSG00000056998.20",132,190,183,325,232,173
"ENSG00000057019.16",229,392,474,418,290,492
"ENSG00000057149.16",0,0,2,0,0,0
"ENSG00000057252.13",340,320,340,213,251,345
"ENSG00000057294.16",2578,3439,3377,3600,5045,3726
"ENSG00000057468.7",28,42,56,10,8,55
"ENSG00000057593.14",0,0,0,0,0,0
"ENSG00000057608.17",5468,6391,6200,8135,6057,5348
"ENSG00000057657.17",147,114,212,141,134,219
"ENSG00000057663.16",2264,3331,3210,1737,2132,2533
"ENSG00000057704.13",773,647,800,785,576,623
"ENSG00000057757.10",1071,1116,1515,1422,1318,974
"ENSG00000057935.14",270,242,276,474,300,284
"ENSG00000058056.10",173,178,231,203,198,208
"ENSG00000058063.16",1075,1299,1374,897,907,1388
"ENSG00000058085.15",2825,2536,2175,12876,2596,1566
"ENSG00000058091.17",1,4,11,1,9,65
"ENSG00000058262.10",5079,4135,3917,8435,5765,3791
"ENSG00000058272.19",2064,2864,3354,1407,1858,3379
"ENSG00000058335.16",0,0,0,0,0,0
"ENSG00000058404.20",3,1,0,2,1,0
"ENSG00000058453.17",193,156,154,266,360,197
"ENSG00000058600.16",556,561,542,810,901,530
"ENSG00000058668.15",38,55,86,96,24,73
"ENSG00000058673.17",1892,1686,1814,2628,2285,1664
"ENSG00000058729.11",580,517,628,395,686,779
"ENSG00000058799.15",300,224,226,602,351,261
"ENSG00000058804.12",1297,2897,2625,1275,2745,2445
"ENSG00000058866.15",2,3,1,1,1,0
"ENSG00000059122.17",311,272,212,386,547,343
"ENSG00000059145.19",317,159,251,171,231,212
"ENSG00000059377.18",13,6,5,11,5,15
"ENSG00000059378.13",389,374,528,1125,750,623
"ENSG00000059573.9",1792,2719,2773,1890,1897,1689
"ENSG00000059588.10",608,706,813,398,1191,978
"ENSG00000059691.12",289,448,386,567,390,303
"ENSG00000059728.11",898,578,722,916,646,550
"ENSG00000059758.8",631,736,770,377,503,865
"ENSG00000059769.20",323,255,331,224,364,403
"ENSG00000059804.16",8,9,5,13,21,151
"ENSG00000059915.17",41,55,56,21,49,31
"ENSG00000060069.18",552,374,317,707,566,311
"ENSG00000060138.13",3284,3746,4550,5312,3957,3460
"ENSG00000060140.9",221,246,248,182,229,251
"ENSG00000060237.19",908,865,1048,1702,1194,997
"ENSG00000060303.5",0,0,0,0,1,0
"ENSG00000060339.14",2886,4054,6263,3010,4862,7221
"ENSG00000060491.17",787,701,653,1871,1342,776
"ENSG00000060558.4",1,1,0,17,4,8
"ENSG00000060566.14",0,2,1,0,0,0
"ENSG00000060642.12",177,316,305,345,198,235
"ENSG00000060656.20",1158,1281,1215,2282,1359,1008
"ENSG00000060688.13",591,688,562,996,1146,592
"ENSG00000060709.16",0,2,3,4,8,12
"ENSG00000060718.22",6,3,0,3,11,15
"ENSG00000060749.16",551,989,1138,512,803,992
"ENSG00000060762.19",1274,1005,1223,501,862,1103
"ENSG00000060971.19",1090,1073,943,1181,1068,942
"ENSG00000060982.15",1,1,1,57,15,947
"ENSG00000061273.18",524,361,465,715,1032,844
"ENSG00000061337.15",1,0,0,0,0,0
"ENSG00000061455.11",6,11,3,6,4,5
"ENSG00000061492.12",0,0,0,0,0,0
"ENSG00000061656.11",78,125,90,112,39,99
"ENSG00000061676.15",6548,7773,8165,4461,4789,6662
"ENSG00000061794.13",3533,5404,6062,3104,4491,4800
"ENSG00000061918.14",0,0,0,0,0,0
"ENSG00000061936.10",658,558,674,1064,950,762
"ENSG00000061938.21",1102,1262,1241,1944,1778,1150
"ENSG00000061987.16",462,871,924,321,629,1059
"ENSG00000062038.15",362,677,546,1799,485,274
"ENSG00000062096.15",0,0,0,0,0,0
"ENSG00000062194.16",2033,2200,2642,2152,2120,2657
"ENSG00000062282.15",14,21,20,57,12,46
"ENSG00000062370.17",9,6,12,18,23,54
"ENSG00000062485.19",1530,1390,1097,3287,2244,1036
"ENSG00000062524.16",251,175,188,97,50,113
"ENSG00000062582.14",991,1239,1322,1361,1561,997
"ENSG00000062598.18",201,149,173,368,190,145
"ENSG00000062650.20",1381,1810,1780,1305,1649,1978
"ENSG00000062716.13",3558,4033,3777,3528,4971,5030
"ENSG00000062725.10",762,1001,1015,692,843,1314
"ENSG00000062822.16",398,509,437,913,945,496
"ENSG00000063015.21",2,0,3,0,2,4
"ENSG00000063046.18",11140,8638,6840,12276,7483,5281
"ENSG00000063127.16",0,0,0,0,2,0
"ENSG00000063169.12",98,88,73,161,128,83
"ENSG00000063176.16",156,114,85,330,243,160
"ENSG00000063177.13",22831,18734,19327,35005,23525,13325
"ENSG00000063180.9",9,18,14,23,16,44
"ENSG00000063241.8",654,626,633,1250,869,622
"ENSG00000063244.13",2014,1817,1886,4504,3198,1727
"ENSG00000063245.15",1356,1061,937,2494,1433,826
"ENSG00000063322.15",516,389,429,1028,619,460
"ENSG00000063438.20",4,14,15,60,39,56
"ENSG00000063515.3",0,0,0,0,0,0
"ENSG00000063587.15",189,62,92,172,155,100
"ENSG00000063601.17",307,232,309,430,321,223
"ENSG00000063660.9",840,594,550,1243,595,535
"ENSG00000063761.16",37,46,57,74,83,66
"ENSG00000063854.13",690,476,573,764,547,333
"ENSG00000063978.16",726,763,796,1290,987,902
"ENSG00000064012.23",577,679,927,608,980,1359
"ENSG00000064042.18",463,438,491,573,525,1000
"ENSG00000064102.15",390,875,1060,639,588,842
"ENSG00000064115.11",1153,1656,1747,2254,1522,1163
"ENSG00000064195.7",0,0,0,1,0,0
"ENSG00000064199.7",207,259,254,235,374,355
"ENSG00000064201.16",0,0,0,0,0,0
"ENSG00000064205.11",1,0,2,3,1,3
"ENSG00000064218.5",0,1,0,0,0,0
"ENSG00000064225.13",0,4,2,0,0,21
"ENSG00000064270.13",89,67,71,212,223,172
"ENSG00000064300.9",0,0,0,0,0,0
"ENSG00000064309.16",27,22,28,40,15,31
"ENSG00000064313.13",1200,1859,2043,1107,2208,2159
"ENSG00000064393.16",210,121,135,275,141,233
"ENSG00000064419.14",536,590,621,1200,782,544
"ENSG00000064489.23",122,43,89,86,99,49
"ENSG00000064490.14",609,543,479,1217,850,549
"ENSG00000064545.15",270,356,291,780,580,247
"ENSG00000064547.14",137,240,222,351,273,233
"ENSG00000064601.21",1320,1437,1254,3686,2247,1103
"ENSG00000064607.17",661,729,649,742,1109,611
"ENSG00000064651.14",1782,2110,1682,3588,4547,6443
"ENSG00000064652.11",190,214,238,177,179,210
"ENSG00000064655.19",0,2,0,0,1,0
"ENSG00000064666.15",1520,1832,1822,4818,2446,1294
"ENSG00000064687.13",366,309,506,639,390,301
"ENSG00000064692.20",0,0,0,2,0,2
"ENSG00000064703.13",226,266,289,322,358,330
"ENSG00000064726.10",1967,1843,1726,1531,1571,1951
"ENSG00000064763.12",255,457,486,218,284,286
"ENSG00000064787.14",481,280,253,737,268,377
"ENSG00000064835.12",0,0,1,2,2,0
"ENSG00000064886.14",0,0,0,0,0,0
"ENSG00000064932.16",758,604,519,1666,1050,572
"ENSG00000064933.19",323,757,660,282,514,848
"ENSG00000064961.19",2894,2590,2095,3523,3930,2294
"ENSG00000064989.13",21,14,26,7,70,53
"ENSG00000064995.19",697,915,922,823,1099,1014
"ENSG00000064999.15",396,390,419,673,533,418
"ENSG00000065000.19",1760,1213,1446,2820,1955,1396
"ENSG00000065029.15",346,259,301,391,443,257
"ENSG00000065054.14",206,225,259,1092,261,293
"ENSG00000065057.9",116,189,140,343,206,168
"ENSG00000065060.18",351,354,362,350,378,320
"ENSG00000065135.12",1763,1814,1766,2320,1966,1706
"ENSG00000065150.21",3109,4607,4935,3805,4420,3981
"ENSG00000065154.12",948,1551,1407,921,603,1374
"ENSG00000065183.16",328,527,548,698,655,532
"ENSG00000065243.20",3234,3477,4186,1842,3031,4012
"ENSG00000065268.11",521,525,542,1062,931,376
"ENSG00000065308.5",98,101,67,277,177,111
"ENSG00000065320.9",11,12,12,33,10,25
"ENSG00000065325.13",0,0,0,4,0,0
"ENSG00000065328.17",89,299,274,327,340,248
"ENSG00000065357.20",235,264,277,500,342,227
"ENSG00000065361.17",2594,1812,2187,2258,1858,1421
"ENSG00000065371.18",0,0,0,0,1,0
"ENSG00000065413.20",65,70,88,20,65,103
"ENSG00000065427.15",2080,1901,2060,4904,2896,1755
"ENSG00000065457.11",148,105,93,235,192,114
"ENSG00000065485.20",534,404,366,451,625,333
"ENSG00000065491.8",248,194,164,314,278,114
"ENSG00000065518.8",1812,1772,2361,2348,2267,1822
"ENSG00000065526.12",705,465,519,1070,872,467
"ENSG00000065534.20",6,6,9,23,14,14
"ENSG00000065548.18",2707,4127,4908,2823,3285,4701
"ENSG00000065559.15",548,593,699,659,563,741
"ENSG00000065600.13",200,260,296,295,343,437
"ENSG00000065609.15",0,0,0,0,4,0
"ENSG00000065613.15",8960,9413,11017,8663,9156,9541
"ENSG00000065615.14",775,1115,1228,774,997,1400
"ENSG00000065618.21",1344,918,1683,3064,776,494
"ENSG00000065621.15",613,769,918,632,899,823
"ENSG00000065665.21",79,48,53,98,93,88
"ENSG00000065675.16",1,1,4,9,0,16
"ENSG00000065717.15",63,187,168,235,30,187
"ENSG00000065802.12",316,219,220,545,384,332
"ENSG00000065809.14",1225,1390,1748,2589,2142,2489
"ENSG00000065833.9",1029,856,1244,1048,1412,1489
"ENSG00000065882.17",704,470,473,1262,786,417
"ENSG00000065883.17",632,667,774,803,690,774
"ENSG00000065911.13",4944,9882,9988,4371,6788,7957
"ENSG00000065923.10",132,114,127,274,181,195
"ENSG00000065970.9",282,237,220,418,267,165
"ENSG00000065978.19",24923,28189,30369,30619,28632,19592
"ENSG00000065989.16",140,131,117,281,213,132
"ENSG00000066027.12",1534,1752,1695,1444,1468,1508
"ENSG00000066032.19",0,0,0,0,6,1
"ENSG00000066044.15",724,872,986,1605,1009,843
"ENSG00000066056.14",6,2,3,8,15,13
"ENSG00000066084.13",443,378,495,526,443,473
"ENSG00000066117.15",479,332,352,835,763,318
"ENSG00000066135.13",512,371,348,796,462,317
"ENSG00000066136.21",333,235,287,750,384,248
"ENSG00000066185.13",5,3,4,5,0,6
"ENSG00000066230.12",84,49,50,48,114,74
"ENSG00000066248.15",94,86,73,62,68,56
"ENSG00000066279.19",839,1824,1781,776,1623,2209
"ENSG00000066294.15",1,1,5,0,1,3
"ENSG00000066322.15",1739,1846,1440,2996,1268,950
"ENSG00000066336.12",33,18,22,65,54,71
"ENSG00000066379.15",262,340,411,439,383,302
"ENSG00000066382.17",0,0,0,0,0,0
"ENSG00000066405.13",9083,2999,3088,4381,304,844
"ENSG00000066422.6",640,1201,1102,375,780,1194
"ENSG00000066427.25",257,327,355,332,310,527
"ENSG00000066455.13",1466,981,1286,1668,1138,1832
"ENSG00000066468.24",5,6,4,221,10,216
"ENSG00000066557.6",850,1310,1131,389,924,1395
"ENSG00000066583.12",872,1082,1511,1031,1090,1122
"ENSG00000066629.18",0,0,0,2,2,2
"ENSG00000066651.20",481,557,563,395,639,603
"ENSG00000066654.14",604,917,979,578,783,1105
"ENSG00000066697.15",374,377,409,361,446,474
"ENSG00000066735.15",1,9,4,9,3,23
"ENSG00000066739.12",162,150,174,151,214,264
"ENSG00000066777.9",1023,1249,1293,1219,1272,1370
"ENSG00000066813.14",1,0,1,0,0,0
"ENSG00000066827.16",80,76,100,287,100,96
"ENSG00000066855.16",1729,2535,2981,1967,2718,2287
"ENSG00000066923.18",28,22,23,19,58,51
"ENSG00000066926.13",542,479,495,657,786,524
"ENSG00000066933.16",225,227,289,271,261,303
"ENSG00000067048.17",2,6,4,4,3,4
"ENSG00000067057.18",3413,3199,2862,5838,2531,1955
"ENSG00000067064.12",5511,6851,5890,3777,7327,6132
"ENSG00000067066.17",1171,905,1224,1457,1988,1708
"ENSG00000067082.15",4751,4048,5183,6640,4239,3428
"ENSG00000067113.17",26,34,30,79,25,42
"ENSG00000067141.17",514,457,393,873,570,403
"ENSG00000067167.8",12619,19020,18663,9558,16404,23885
"ENSG00000067177.15",76,86,85,202,101,115
"ENSG00000067182.8",1154,1097,961,2371,1397,905
"ENSG00000067191.16",72,48,51,65,60,98
"ENSG00000067208.16",595,504,662,312,386,513
"ENSG00000067221.14",79,66,36,81,111,71
"ENSG00000067225.20",59745,54062,41261,143094,68361,34643
"ENSG00000067248.11",389,356,549,436,495,538
"ENSG00000067334.14",1597,1448,1949,1939,2039,2773
"ENSG00000067365.15",85,89,82,120,144,58
"ENSG00000067369.14",265,262,232,430,414,252
"ENSG00000067445.22",0,0,0,0,0,0
"ENSG00000067533.6",420,643,721,670,904,813
"ENSG00000067560.14",8569,7886,6516,15841,9300,6189
"ENSG00000067596.12",565,319,229,1060,659,293
"ENSG00000067601.9",72,65,77,69,84,117
"ENSG00000067606.17",450,367,393,690,365,289
"ENSG00000067646.12",2,5,5,1,3,0
"ENSG00000067704.10",3680,5061,4799,4997,5776,4036
"ENSG00000067715.14",59,55,44,78,27,40
"ENSG00000067798.16",10,7,15,6,16,12
"ENSG00000067829.20",492,399,375,921,611,318
"ENSG00000067836.13",98,86,74,301,137,196
"ENSG00000067840.13",1,0,0,0,0,0
"ENSG00000067842.18",0,0,0,0,0,0
"ENSG00000067900.8",2169,2490,3291,1924,2472,3580
"ENSG00000067955.15",2032,2884,3209,2205,2444,3051
"ENSG00000067992.17",169,152,198,291,207,166
"ENSG00000068001.14",209,289,199,524,407,203
"ENSG00000068024.18",123,196,186,295,241,249
"ENSG00000068028.18",797,710,431,873,1044,663
"ENSG00000068078.20",63,153,146,126,114,153
"ENSG00000068079.8",302,162,212,660,793,477
"ENSG00000068097.16",84,54,55,102,74,67
"ENSG00000068120.15",1451,1333,1548,3022,2153,1461
"ENSG00000068137.15",669,561,508,860,673,430
"ENSG00000068305.18",926,859,986,835,799,1375
"ENSG00000068308.15",571,430,390,894,574,368
"ENSG00000068323.17",451,354,312,825,467,325
